Date,Monthly_Inflation
1968-01-31,
1968-02-29,0.0060129207106254245
1968-03-31,0.12748165100268705
1968-04-30,0.003298787803300396
1968-05-31,-0.016262139928576613
1968-06-30,0.11186312491443484
1968-07-31,0.04565038417837619
1968-08-31,0.04071684366094175
1968-09-30,0.00033161703216899596
1968-10-31,0.04735927066586321
1968-11-30,0.04183149715132317
1968-12-31,0.056850869428840545
1969-01-31,0.006983296338810341
1969-02-28,0.0006541909415069824
1969-03-31,0.0652529816518661
1969-04-30,0.06211473751033458
1969-05-31,0.04227322456629379
1969-06-30,-0.05967996068681458
1969-07-31,0.0020863687148846566
1969-08-31,0.003987604608806095
1969-09-30,0.06547597806568861
1969-10-31,-0.04018459043975031
1969-11-30,-0.01870637375595141
1969-12-31,-0.005472205982916978
1970-01-31,0.029709674994932822
1970-02-28,0.06999545110788152
1970-03-31,-0.008606673422587474
1970-04-30,-0.025061576005452557
1970-05-31,0.01905246440984265
1970-06-30,0.029396648102971268
1970-07-31,-0.020148165666562523
1970-08-31,0.015268052693634626
1970-09-30,-0.004723801728789612
1970-10-31,-0.0033362387288661255
1970-11-30,0.038253846293231364
1970-12-31,0.002055405966528534
1971-01-31,-0.044646263768698735
1971-02-28,-0.09768594486556526
1971-03-31,-0.1308132990521651
1971-04-30,-0.03550919282338538
1971-05-31,-0.04635505680925034
1971-06-30,0.035357824266250226
1971-07-31,-0.014153975460382995
1971-08-31,-0.04867787697654813
1971-09-30,-0.04909526238979456
1971-10-31,-0.06331000024623823
1971-11-30,-0.09674746574234139
1971-12-31,-0.06979125959902321
1972-01-31,0.013875054650124508
1972-02-29,0.030368557017484532
1972-03-31,0.05633557694971847
1972-04-30,-0.021319619136063173
1972-05-31,-0.027078492248234665
1972-06-30,-0.09712389347195105
1972-07-31,-0.00609102939861994
1972-08-31,-0.029190026949340697
1972-09-30,-0.07171527773277464
1972-10-31,0.06605860091037719
1972-11-30,-0.018793948821337225
1972-12-31,-0.03693370246043537
1973-01-31,-0.09689704214296269
1973-02-28,0.01348671660932177
1973-03-31,0.016740368412395457
1973-04-30,0.03493201764241971
1973-05-31,0.04740573795339187
1973-06-30,-0.024147817157399665
1973-07-31,-0.027567286343221475
1973-08-31,0.10267528950298455
1973-09-30,0.18716473520675114
1973-10-31,0.20803847663113828
1973-11-30,0.034112955544638446
1973-12-31,0.07716737738265356
1974-01-31,0.10130207621561915
1974-02-28,0.07625354091385317
1974-03-31,0.08338574881487681
1974-04-30,0.04233443864286923
1974-05-31,0.08777184006347216
1974-06-30,0.11490909292387785
1974-07-31,0.10568552100789042
1974-08-31,0.06048247276763741
1974-09-30,0.048489443167504476
1974-10-31,-0.0029870401311206107
1974-11-30,0.04017046735828789
1974-12-31,0.046452614210193754
1975-01-31,0.011163462936672586
1975-02-28,0.01374325449919156
1975-03-31,-0.017850007202696583
1975-04-30,0.010762535575412624
1975-05-31,-0.06594266153305883
1975-06-30,-0.045205699730345605
1975-07-31,-0.0637920168528886
1975-08-31,-0.08670053217870399
1975-09-30,-0.04485900206989746
1975-10-31,-0.04821752728463857
1975-11-30,-0.0020503797448070404
1975-12-31,-0.05038585369637849
1976-01-31,0.0007616316165486303
1976-02-29,-0.04126568481506743
1976-03-31,-0.005269097441676918
1976-04-30,-0.06644387801300022
1976-05-31,0.017295007220665015
1976-06-30,-0.013619240116719444
1976-07-31,0.03166587548054012
1976-08-31,0.037233449017260556
1976-09-30,-0.035408654895779934
1976-10-31,-0.030147212508050525
1976-11-30,-0.03869299511664115
1976-12-31,-0.06284588801065127
1977-01-31,-0.023846561275647216
1977-02-28,0.0005630660766922091
1977-03-31,0.008356188558170663
1977-04-30,0.07828544221070333
1977-05-31,0.02437230208448904
1977-06-30,0.026579855870709768
1977-07-31,-0.005645274274140966
1977-08-31,-0.007045137245893618
1977-09-30,0.005973824141219275
1977-10-31,0.011152297180707649
1977-11-30,0.007101229709602697
1977-12-31,0.05207422807468087
1978-01-31,0.001085698531853474
1978-02-28,-0.004198629078616678
1978-03-31,0.012609625073006558
1978-04-30,-0.002663002788553248
1978-05-31,0.030980564005002043
1978-06-30,0.004667067584323448
1978-07-31,0.030429668107849084
1978-08-31,0.03333267782477978
1978-09-30,0.04886551991546906
1978-10-31,0.05367414360209133
1978-11-30,0.019372528965436953
1978-12-31,-0.016665229588259223
1979-01-31,0.0013804076646268815
1979-02-28,0.055216261395419686
1979-03-31,0.010843690418126162
1979-04-30,0.025199451369223747
1979-05-31,0.016475835560907814
1979-06-30,0.018527049342672797
1979-07-31,0.022900981154320377
1979-08-31,0.041069666108976666
1979-09-30,0.0043861177707194
1979-10-31,0.02490605774064969
1979-11-30,0.05945520409917893
1979-12-31,0.06771411450908049
1980-01-31,0.05776176211741779
1980-02-29,0.009633220387306629
1980-03-31,0.05383838664295215
1980-04-30,0.029552567853391443
1980-05-31,0.02440276750128567
1980-06-30,0.0435912663431588
1980-07-31,-0.10401541395043756
1980-08-31,-0.061206084620268664
1980-09-30,-0.013611847608107519
1980-10-31,-0.00027230756082619045
1980-11-30,-0.016324049509835126
1980-12-31,-0.014401021161636107
1981-01-31,-0.052592682278018055
1981-02-28,-0.06563677623928921
1981-03-31,-0.0810319482325107
1981-04-30,-0.058990667060560886
1981-05-31,-0.01106378980090994
1981-06-30,-0.04071503236295859
1981-07-31,0.21993333063572718
1981-08-31,0.05165508207007474
1981-09-30,0.034709417374322316
1981-10-31,-0.07872390668180951
1981-11-30,-0.06587963812024877
1981-12-31,-0.06349689972163464
1982-01-31,-0.03915954250932052
