DATE,CORESTICKM159SFRBATL
1968-03-31,3.8226148153333335
1968-06-30,4.263214293000001
1968-09-30,4.882643304333333
1968-12-31,5.4294427113333334
1969-03-31,5.8737702936666665
1969-06-30,6.554073466666668
1969-09-30,6.546257806
1969-12-31,6.466553559666667
1970-03-31,6.879757354666666
1970-06-30,6.972515896
1970-09-30,7.068003664666667
1970-12-31,7.242646538999999
1971-03-31,6.282023820333333
1971-06-30,5.201909910666667
1971-09-30,4.917016772
1971-12-31,4.002329600333333
1972-03-31,3.8758998963333333
1972-06-30,3.7746188003333336
1972-09-30,3.3193987123333337
1972-12-31,3.2491646643333336
1973-03-31,2.884439850666667
1973-06-30,3.101956653333333
1973-09-30,3.4268802746666664
1973-12-31,5.0003640423333335
1974-03-31,6.317825925
1974-06-30,7.8164687006666655
1974-09-30,10.074438653
1974-12-31,11.014412715
1975-03-31,11.660767458999999
1975-06-30,11.019418273333335
1975-09-30,9.069480840666666
1975-12-31,7.962578806333333
1976-03-31,7.466507443333334
1976-06-30,6.894788109333334
1976-09-30,7.177767948333334
1976-12-31,6.562426871666666
1977-03-31,6.068036900999999
1977-06-30,6.7473048376666656
1977-09-30,6.862437454999999
1977-12-31,7.104545441666666
1978-03-31,7.382208791666667
1978-06-30,7.578820996666667
1978-09-30,8.221860431666668
1978-12-31,9.102000972333334
1979-03-31,9.439005945
1979-06-30,10.090167772666666
1979-09-30,10.807942590000001
1979-12-31,11.972686396333335
1980-03-31,13.800298616333334
1980-06-30,15.214881517333334
1980-09-30,13.496507473333333
1980-12-31,12.880014186666665
1981-03-31,11.188904411666668
1981-06-30,9.508641635333333
1981-09-30,11.761978706666667
1981-12-31,10.548692975333333
1982-03-31,9.300033988000001
1982-06-30,9.004101839666667
1982-09-30,7.066016678666667
1982-12-31,5.177362208999999
1983-03-31,4.455718182333333
1983-06-30,3.3518182646666665
1983-09-30,2.4508275286666663
1983-12-31,3.5965572260000003
1984-03-31,4.539689325
1984-06-30,4.699730280333334
1984-09-30,5.007283728
1984-12-31,5.024163238333333
1985-03-31,4.841625796
1985-06-30,4.936544191333333
1985-09-30,4.8793875
1985-12-31,5.009053080666667
1986-03-31,5.200894832333334
1986-06-30,5.134736750666666
1986-09-30,4.910461112
1986-12-31,4.703908635666667
1987-03-31,4.406619880666667
1987-06-30,4.329566837666666
1987-09-30,4.259249547666666
1987-12-31,4.326115747
1988-03-31,4.396599764666667
1988-06-30,4.493915003000001
1988-09-30,4.698775439666666
1988-12-31,4.7136083730000005
1989-03-31,4.76071654
1989-06-30,4.702114735333333
1989-09-30,4.805949207666667
1989-12-31,4.809836198
1990-03-31,5.004997429666666
1990-06-30,5.271471825666666
1990-09-30,5.761079016666668
1990-12-31,5.710902147333333
1991-03-31,5.717311262666667
1991-06-30,5.144420091333333
1991-09-30,4.516699897666666
1991-12-31,4.328545741
1992-03-31,3.9633060206666664
1992-06-30,3.951012620333333
1992-09-30,3.5822418353333334
1992-12-31,3.5812156336666665
1993-03-31,3.4749123466666667
1993-06-30,3.5021004883333333
1993-09-30,3.5246037209999996
1993-12-31,3.469830095666667
1994-03-31,3.453943741
1994-06-30,3.2582229763333337
1994-09-30,3.2649586256666665
1994-12-31,3.064664348333333
1995-03-31,3.145260705666667
1995-06-30,3.3314208826666665
1995-09-30,3.325595862
1995-12-31,3.4079687323333334
1996-03-31,3.2238374333333333
1996-06-30,3.0347783209999997
1996-09-30,3.0779950176666664
1996-12-31,2.9935180663333334
1997-03-31,2.856496043
1997-06-30,2.8698563709999996
1997-09-30,2.6502380986666663
1997-12-31,2.5963390453333335
1998-03-31,2.679011616
