,DATE,GDP
0,1947-01-01,-0.933981393028341
1,1947-04-01,-0.9336064413883208
2,1947-07-01,-0.9331227751679382
3,1947-10-01,-0.9317641772140848
4,1948-01-01,-0.9309622567486064
5,1948-04-01,-0.9300496158987
6,1948-07-01,-0.9291631842219191
7,1948-10-01,-0.9290067315047923
8,1949-01-01,-0.9297197279900232
9,1949-04-01,-0.9302122197482952
10,1949-07-01,-0.9300065579714224
11,1949-10-01,-0.9303090332245342
12,1950-01-01,-0.9289449527395679
13,1950-04-01,-0.9276672555496989
14,1950-07-01,-0.9252910463331657
15,1950-10-01,-0.9237142168969611
16,1951-01-01,-0.9215673379452763
17,1951-04-01,-0.9204855409524935
18,1951-07-01,-0.9195100515751942
19,1951-10-01,-0.9188691303160584
20,1952-01-01,-0.9183821210888995
21,1952-04-01,-0.9182203195609308
22,1952-07-01,-0.9173282716327658
23,1952-10-01,-0.9155750651590481
24,1953-01-01,-0.9146165582561719
25,1953-04-01,-0.9141125665545898
26,1953-07-01,-0.9141898568712559
27,1953-10-01,-0.9148853360009794
28,1954-01-01,-0.9149689111703848
29,1954-04-01,-0.9148651442400512
30,1954-07-01,-0.9142132579186893
31,1954-10-01,-0.913044810190267
32,1955-01-01,-0.9112611154947502
33,1955-04-01,-0.9101299757219504
34,1955-07-01,-0.9089680802868094
35,1955-10-01,-0.9080492883044348
36,1956-01-01,-0.9076943947050718
37,1956-04-01,-0.9068567709272236
38,1956-07-01,-0.9061639662029211
39,1956-10-01,-0.9049241118497587
40,1957-01-01,-0.9036783738046702
41,1957-04-01,-0.9033780380758952
42,1957-07-01,-0.9023798162525176
43,1957-10-01,-0.9029984062263884
44,1958-01-01,-0.903977773491548
45,1958-04-01,-0.9033843229286345
46,1958-07-01,-0.9015305588110881
47,1958-10-01,-0.8996967190139281
48,1959-01-01,-0.8982558830933799
49,1959-04-01,-0.8966080481932484
50,1959-07-01,-0.8962896602278818
51,1959-10-01,-0.8958128137413225
52,1960-01-01,-0.8939343113736322
53,1960-04-01,-0.8941439847586364
54,1960-07-01,-0.8935390342524127
55,1960-10-01,-0.8942620597579723
56,1961-01-01,-0.8936173943312472
57,1961-04-01,-0.892209721037919
58,1961-07-01,-0.8905891650730814
59,1961-10-01,-0.8888577550035445
60,1962-01-01,-0.8870657696512226
61,1962-04-01,-0.8862162447692511
62,1962-07-01,-0.8850580935016995
63,1962-10-01,-0.8846231014599786
64,1963-01-01,-0.8833672006742903
65,1963-04-01,-0.8822867408842179
66,1963-07-01,-0.8803221226619725
67,1963-10-01,-0.8790525824086374
